check_memory_region_flags	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1560
kvm_replace_gfn_node	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1486
kvm_replace_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1503
kvm_replace_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1509
kvm_replace_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1514
kvm_replace_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1524
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1966
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1968
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1969
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1972
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1975
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1978
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1983
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1985
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1987
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1998
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1999
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:2002
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:2005
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:2008
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:2018
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:2035
__kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:2043
kvm_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:2062
kvm_set_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1842
kvm_set_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1859
kvm_set_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1891
kvm_set_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1895
kvm_set_memslot	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1907
kvm_swap_active_memslots	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1574
kvm_swap_active_memslots	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:1589
kvm_vm_ioctl	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:4818
kvm_vm_ioctl	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:4984
kvm_vm_ioctl_set_memory_region	arch/arm64/kvm/../../../virt/kvm/kvm_main.c:2072
